CMP,EryA,EryB,GMP,MPP,Mono,MEP,GN
7.41,158.03,179.43,6.45,13.85,5.75,44.42,8.24
27.54,8.71,7.59,36.34,23.54,12.06,29.18,9.98
29.3,14.93,18.63,28.14,35.54,8.22,58.79,9.11
26.83,27.38,21.39,11.14,14.77,5.48,39.63,4.77
20.83,3.73,8.28,21.1,47.54,5.48,16.98,11.28
30.36,3.73,13.11,24.62,38.31,10.69,28.74,10.41
32.83,8.71,2.07,19.34,40.61,7.67,35.28,6.51
27.89,8.71,11.73,7.03,13.85,7.12,38.33,6.51
26.83,12.44,15.87,11.72,50.31,12.6,22.65,8.68
49.42,4.98,10.35,59.2,77.08,29.59,27.87,36.44
38.83,11.2,11.73,17,61.85,12.06,80.13,20.82
55.78,16.18,8.97,58.03,49.38,29.04,27.44,20.39
