UNIQUD,NAME,MPP,CLP,CMP,GMP,MEP,CD8
NM_001198894,Gpr56,1351.749,934.5862,1689.6756,686.395,1171.4863,11.6421
NM_001287087,4933434E20Rik,98.0467,126.0838,141.4217,158.307,356.9613,203.7169
NM_011347,Selp,16.2715,3.4074,50.6322,25.2845,7.2328,2.4945
NR_029738,Mir21,0.1312,0.7571,0,0.7331,0,0
NM_010983,Olfr2,0,0,0,0,0,0
NM_008960,Pten,126,306.6612,245.1311,185.4338,250.0031,241.9658
NM_021375,Rhbg,0,0.3785,0,0,0,0
NM_010382,H2-Eb1,91.3211,91.2787,96.7236,61.5664,170.4786,59.8648
NM_001080949,Ttc5,33.7307,43.1582,57.618,32.2477,59.4954,67.3516
NM_203396,Fam115e,0.3937,0,0,0,0,0
NM_146966,Olfr1247,0,0,0,0,0,0
NM_007447,Ang,8.0053,8.3311,8.3806,9.1615,1.6083,3.3271
NR_046076,Gm4251,0.2625,0,0,0,0,0
NM_033614,Pde6c,0.7875,0,0,0,0,0
NM_001033227,Slc5a10,0,0,0,0,0,0
NM_138719,Gnb5,6.6935,4.5432,8.7307,9.8956,1.6083,4.1574
NM_001163526,S100a14,0,1.8934,0,0,1.6097,0
NM_001139511,Raly,910.8085,1158.9014,922.2324,806.582,1521.1534,600.3496
NM_146675,Olfr820,0,0,0,0,0,0
NM_022415,Ptges,0.5248,0,0.349,4.3966,0,0
