UNIQUD,NAME,MPP,CMP,GMP,MEP,EryA,Gn
NM_177906,Opcml,32.6721,5.2373,4.0319,8.8397,1138.8394,1.0199
NM_001042542,Akap4,0.7872,0,0,0,0,0
NR_102303,A330033J07Rik,6.8226,1.0473,0,1.607,2.0095,0.1761
NM_010748,Lyst,42.2615,66.0005,105.9065,57.9,14.5647,197.7271
NM_013603,Mt3,0,0,0,0,0,0.0782
NM_153539,Brinp3,2.3616,2.4446,0.3665,0,0.5019,0.1175
NM_001271724,Surf1,98.558,133.7471,139.9859,273.3708,66.8004,43.1846
NM_010754,Smad2,70.085,149.7994,145.1152,208.2302,30.1359,52.2738
NM_001243102,AI182371,2.7554,3.8413,2.5655,1.6083,5.0227,2.4101
NM_145709,Obox5,0,0,0,0,0,0
NM_001198833,Ddr1,1.7074,2.0955,1.0996,2.4143,2.5114,79.3231
NM_213614,5-Sep,14.5657,8.3802,1.8318,10.4492,2.0095,211.254
NM_019578,Extl1,3.0176,0,0,0,0.5019,3.5791
NM_146568,Olfr1012,0,0,0,0,0,0
NM_026461,1700129C05Rik,0,0,0,0,0,0
NM_025834,Proz,0,0,0,0,0,0
NM_001136082,Timeless,295.1667,409.6107,391.0165,1057.2838,232.5384,16.121
NM_018805,Hs3st3b1,3.4127,4.539,5.8623,4.0188,1.0044,14.9058
NM_025468,Sec11c,310.3935,542.9817,608.7084,840.9925,327.477,216.4671
NM_008035,Folr2,0,0,0,0,0,0.7043
NM_011750,Sf1,501.0474,841.1707,772.1581,1801.7763,712.1968,128.1682
NR_045099,Gm11762,0.1312,0,0,0,0,0
NM_001164352,Efemp2,0.1312,0.3491,1.099,0.8048,2.0086,1.7411
NM_008533,Cd180,8.2688,20.6011,7.6964,4.8247,2.0095,10.505
NM_197943,Sgsm2,55.6464,102.3136,93.0772,148.7612,12.5561,9.8985
NM_001111141,Sprtn,1.181,1.3963,4.764,12.8728,1.5065,0.5875
NM_177373,Ppfia2,20.3379,7.3324,3.665,16.8846,17.5825,4.0739
NM_175145,Tmem127,68.5027,75.4296,82.8203,314.3663,174.7854,82.3881
NM_053242,Foxp2,18.7628,0.349,0.3662,4.0213,41.193,1.9024
NM_001177868,Rreb1,89.2564,239.2001,246.9956,463.9052,12.0553,47.6866
NM_010488,Elavl4,1.7056,0,0,0,1.5071,0.9782
NM_030702,Senp3,97.5092,153.6505,167.8359,410.9018,151.193,28.6642
NM_207565,Olfr1113,0,0,0,0,0,0
NM_021365,Xlr4b,2.0993,6.636,6.23,12.0602,1.5065,1.5455
NM_023355,Timm22,96.8579,134.7883,125.6975,297.4804,58.2618,13.7963
NR_003630,Gm6498,1.7056,3.4918,6.2298,2.4118,0,1.0572
NM_001267583,Zfp811,3.8048,3.1425,0.7328,0.8035,0,1.0365
NM_001185173,Zscan4b,0,0,0,0,0,0
NM_009765,Brca2,89.6395,201.4868,179.5725,497.6825,302.8534,6.9264
NM_019464,Sh3glb1,181.6258,253.1671,160.1492,945.5113,1221.9294,261.1376
NM_153138,Wipf1,145.1481,241.6487,213.6499,123.7997,74.8372,304.0839
NM_018769,Dfna5,25.0637,33.5237,30.4147,16.0747,0.5025,62.5935
NM_008115,Gfra2,3.2799,0.699,0.3665,0,20.0887,77.9945
NR_045345,1700030O20Rik,2.2304,0,0,0.8035,0.5025,0.0391
NM_001039077,Prosc,5.5129,10.1259,8.0625,28.1426,2.0095,9.7804
NM_025562,Fis1,405.1235,462.3283,516.719,766.2483,1430.4519,360.7473
NM_145611,Kank2,30.0494,16.7607,17.2224,1.6083,1.0046,1.565
NM_027816,Cyp2u1,0.656,0.698,1.0993,0,0,0.137
NM_144558,Bivm,2.7559,11.8729,8.7955,13.6655,0,2.4258
NM_019460,Sfmbt1,45.937,109.6502,96.7451,389.9326,144.1465,36.3119
NR_045160,4933427I22Rik,0,0,0.3665,0,0,0
NR_029463,9430083A17Rik,0.5248,3.1431,1.0993,0,0,0.8998
NM_001081001,Brca2,89.6395,201.4868,179.5725,497.6825,302.8534,6.9264
NM_001253372,Kcnma1,12.0712,1.3968,0.7331,1.607,5.0236,0.509
NM_028475,Ubap2l,480.9593,717.2325,669.1651,1641.0469,374.661,141.7203
NM_001177844,Frmd4a,78.6196,159.5787,151.712,226.752,562.5091,36.8556
NM_025554,Polr2e,373.9001,416.5778,434.2595,1128.8377,162.2251,53.3595
